constructionyear;locality;organbuilder;architect;stopsnumber;manualsnumber;pedals
1873;Abild Kirke ;Marcussen & Søn;;10;1;Pedal
2002;Daugbjerg Kirke ;P.G. Andersen & Bruhn;;8;2;Pedal
2002;Esbjerg, Vor Frelsers Kirke ;P.G. Andersen & Bruhn;Vilhelmsen, Marxen og Bech-Jensen. [Iflg. annonce, Menighedsrådenes Blad 2002].;43;3;Pedal
1972;Esbjerg, Vor Frelsers Kirke ;P. Bruhn;;4;1;(Intet Pedal)
1975;Frejlev Kirke ;Bruno Christensen & Sønner;Erik Sørensen (2007). Arkitektfirma Brøgger (2007) [iflg. medd. fra orgelbyggeriet 2008].;9;2;Pedal
1861;Havrebjerg Valgmenighedskirke ;Jens Gregersen;;5;1;(Intet Pedal)
1968;Hellevad Kirke ;Th. Frobenius & Sønner;Leopold Teschl [Christensen 2018];14;2;Pedal
1975;Herrested Kirke ;Fyns Orgelbyggeri;;11;2;Pedal
1979;Hjortshøj Kirke ;Marcussen & Søn;;17;2;Pedal
1975;Hjørring, Sct. Catharinæ Kirke ;Marcussen & Søn;Harald Lønborg-Jensen;47;3;Pedal
1977;Hoed Kirke ;Th. Frobenius & Sønner;;5;1;Pedal
2004;Hunseby Kirke ;Marcussen & Søn;Peter Bering.;13;2;Pedal
1974;Hårslev Kirke ;Th. Frobenius & Sønner;;12;2;Pedal
1966;Karlby Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal
2002;Kauslunde Kirke ;Carsten Lund;Orgelbyggeriet;10;2;Pedal
2002;København, Vor Frue Kirke;Carsten Lund;Ebbe Lehn Petersen.;28;2;Pedal
2001;Lyngby Kirke ;Th. Frobenius & Sønner;Vilhelmsen, Marxen og Bech-Jensen. [Se noter].;10;2;Pedal
1961;Nim Kirke ;Th. Frobenius & Co;;6;1;Pedal
2002;Ryde Kirke ;Th. Frobenius & Sønner;;10;2;Pedal
2002;Rønninge Kirke ;Gunnar Fabricius Husted;Ebbe Lehn Petersen;17;2;Pedal
2003;Stjær Kirke ;Marcussen & Søn;Per Kristensens Tegnestue [Menighedsrådenes Blad 2004,5].;12;2;Pedal
1970;Svogerslev Kirke ;Frederiksborg Orgelbyggeri;Rolf Graae;10;2;Pedal
1968;Sønder Nærå Kirke ;Th. Frobenius & Sønner;> 1968: Ebbe Lehn Petersen. [Se noter]. > 2002: Ebbe Marxen [iflg. meddelelse fra orgelbyggeriet]];12;2;Pedal
2002;Tårup Kirke ;Marcussen & Søn;;10;2;Pedal
1946;Ulbjerg Kirke ;Th. Frobenius & Co;Fin Ditlevsen;7;1;Pedal
1965;Uvelse Kirke ;Frederiksborg Orgelbyggeri;Rolf Graae;7;1;Pedal
1990;Vejstrup Kirke ;P. Bruhn & Søn;Ebbe Lehn Petersen. [Iflg. medd. fra orgelbyggeriet].;10;2;Pedal
2002;Vilstrup Kirke ;Marcussen & Søn;;15;2;Pedal
1971;Ålsø Kirke ;Th. Frobenius & Sønner;;9;2;Pedal
1973;Aarhus, Sct. Lukas Kirke ;Marcussen & Søn;Kai Gottlob.;40;3;Pedal
1971;Drigstrup Kirke ;Th. Frobenius & Sønner;> Ebbe Lehn Petersen [Se noter].;4;1;(Intet Pedal)
1882;Døstrup Kirke ;Marcussen & Søn;;10;1;Pedal
1966;Guldager Kirke ;Marcussen & Søn;> Rolf Graae og Richard Aas.;18;2;Pedal
2002;Lyngså Kirke ;Bruno Christensen & Sønner;Øjvind Jørgensen;12;2;Pedal
2002;Redsted Kirke ;Bruno Christensen & Sønner;Gert Madsen.;12;2;Pedal
1981;Agerbæk Kirke ;Jydsk Orgelbyggeri;;11;2;Pedal
2001;Broholm Kirke ;Bruno Christensen & Sønner;Lars Mindedal.;9;2;Pedal
1946;Brøndum Kirke ;Th. Frobenius & Co;Fin Ditlevsen.;8;1;Pedal
1964;Døllefjelde Kirke ;Frederiksborg Orgelbyggeri;1964: J.K. Jepsen. 1980: Rolf Graae. 2001: Varmings Tegnestue, Præstø.;7;1;Pedal
2001;Espe Kirke ;Bruno Christensen & Sønner;Ebbe Lehn Petersen.;13;2;Pedal
