constructionyear;locality;organbuilder;architect;stopsnumber;manualsnumber;pedals;oc_lat;oc_lng;oc_formatted
1873;Abild Kirke ;Marcussen & Søn;;10;1;Pedal;54.9809441;8.8608884;Abild Kirke, Kirkevej, 6270 Tønder, Denmark
2002;Daugbjerg Kirke ;P.G. Andersen & Bruhn;;8;2;Pedal;56.4340736;9.1303781;Daugbjerg Kirke, Sejbækvej, 7850 Stoholm, Denmark
2002;Esbjerg, Vor Frelsers Kirke ;P.G. Andersen & Bruhn;Vilhelmsen, Marxen og Bech-Jensen. [Iflg. annonce, Menighedsrådenes Blad 2002].;43;3;Pedal;55.4675552;8.4489422;Vor Frelsers Kirke, Kirkegade, 6700 Esbjerg, Denmark
1972;Esbjerg, Vor Frelsers Kirke ;P. Bruhn;;4;1;(Intet Pedal);55.4675552;8.4489422;Vor Frelsers Kirke, Kirkegade, 6700 Esbjerg, Denmark
1975;Frejlev Kirke ;Bruno Christensen & Sønner;Erik Sørensen (2007). Arkitektfirma Brøgger (2007) [iflg. medd. fra orgelbyggeriet 2008].;9;2;Pedal;57.0085038;9.8205484;Frejlev Kirke, Verdisvej, 9200 Aalborg SV, Denmark
1861;Havrebjerg Valgmenighedskirke ;Jens Gregersen;;5;1;(Intet Pedal);55.4481935;11.311265;Havrebjerg Valgmenighedskirke, Kirkestien, 4200 Slagelse, Denmark
1968;Hellevad Kirke ;Th. Frobenius & Sønner;Leopold Teschl [Christensen 2018];14;2;Pedal;57.2128884;10.1527386;Hellevad Kirke, Bredkærsvej, 9320 Hjallerup, Denmark
1975;Herrested Kirke ;Fyns Orgelbyggeri;;11;2;Pedal;55.2803646;10.6111442;Herrested Kirke, Måre Byvej, 5863 Ferritslev, Denmark
1979;Hjortshøj Kirke ;Marcussen & Søn;;17;2;Pedal;56.2523215;10.2652023;Hjortshøj Kirke, Gammel Kirkevej, 8530 Hjortshøj, Denmark
1975;Hjørring, Sct. Catharinæ Kirke ;Marcussen & Søn;Harald Lønborg-Jensen;47;3;Pedal;57.4618001;9.9824746;Sanct Catharinæ Kirke, Store Kirkestræde, 9800 Hjørring, Denmark
1977;Hoed Kirke ;Th. Frobenius & Sønner;;5;1;Pedal;56.3141902;10.8170482;Hoed Kirke, Glatvedvej, 8444 Balle, Denmark
2004;Hunseby Kirke ;Marcussen & Søn;Peter Bering.;13;2;Pedal;54.7983785;11.5145926;Hunseby Church, Hunseby Kirkevej, 4930 Maribo, Denmark
1974;Hårslev Kirke ;Th. Frobenius & Sønner;;12;2;Pedal;55.2717506;11.4798566;Hårslev Kirke, Hårslevvej, 4262 Sandved, Denmark
1966;Karlby Kirke ;Jydsk Orgelbyggeri;;6;1;Pedal;56.3484526;10.2892816;Karlby Kirke, Slotsvej, 8543 Hornslet, Denmark
2002;Kauslunde Kirke ;Carsten Lund;Orgelbyggeriet;10;2;Pedal;55.4847257;9.8080502;Kauslunde Kirke, Kauslundevej, 5500 Middelfart, Denmark
2002;København, Vor Frue Kirke;Carsten Lund;Ebbe Lehn Petersen.;28;2;Pedal;55.6793766;12.5727267;Church of Our Lady, Dyrkøb, 1166 Copenhagen, Denmark
