placename,oc_lat,oc_lng,oc_formatted
Abild Kirke,54.9809441,8.8608884,"Abild Kirke, Kirkevej, 6270 Tønder, Denmark"
Daugbjerg Kirke,56.4340736,9.1303781,"Daugbjerg Kirke, Sejbækvej, 7850 Stoholm, Denmark"
"Esbjerg, Vor Frelsers Kirke",55.4675552,8.4489422,"Vor Frelsers Kirke, Kirkegade, 6700 Esbjerg, Denmark"
"Esbjerg, Vor Frelsers Kirke",55.4675552,8.4489422,"Vor Frelsers Kirke, Kirkegade, 6700 Esbjerg, Denmark"
Frejlev Kirke,57.0085038,9.8205484,"Frejlev Kirke, Verdisvej, 9200 Aalborg SV, Denmark"
Havrebjerg Valgmenighedskirke,55.4481935,11.311265,"Havrebjerg Valgmenighedskirke, Kirkestien, 4200 Slagelse, Denmark"
Hellevad Kirke,57.2128884,10.1527386,"Hellevad Kirke, Bredkærsvej, 9320 Hjallerup, Denmark"
Herrested Kirke,55.2803646,10.6111442,"Herrested Kirke, Måre Byvej, 5863 Ferritslev, Denmark"
Hjortshøj Kirke,56.2523215,10.2652023,"Hjortshøj Kirke, Gammel Kirkevej, 8530 Hjortshøj, Denmark"
"Hjørring, Sct. Catharinæ Kirke",57.4618001,9.9824746,"Sanct Catharinæ Kirke, Store Kirkestræde, 9800 Hjørring, Denmark"
Hoed Kirke,56.3141902,10.8170482,"Hoed Kirke, Glatvedvej, 8444 Balle, Denmark"
Hunseby Kirke,54.7983785,11.5145926,"Hunseby Church, Hunseby Kirkevej, 4930 Maribo, Denmark"
Hårslev Kirke,55.2717506,11.4798566,"Hårslev Kirke, Hårslevvej, 4262 Sandved, Denmark"
Karlby Kirke,56.3484526,10.2892816,"Karlby Kirke, Slotsvej, 8543 Hornslet, Denmark"
Kauslunde Kirke,55.4847257,9.8080502,"Kauslunde Kirke, Kauslundevej, 5500 Middelfart, Denmark"
"København, Vor Frue Kirke",55.6793766,12.5727267,"Church of Our Lady, Dyrkøb, 1166 Copenhagen, Denmark"
Lyngby Kirke,55.773475,12.5002735,"Lyngby Kirke, Lyngby Hovedgade, 2800 Kongens Lyngby, Denmark"
Nim Kirke,55.9271679,9.6814481,"Nim Kirke, Kirkevej, Nim, Denmark"
Ryde Kirke,56.4334928,8.7783013,"Ryde Kirke, Skolevænget, 7830 Vinderup, Denmark"
Rønninge Kirke,55.3446392,10.6044368,"Rønninge Kirke, Rønninge Bygade, 5550 Langeskov, Denmark"
Stjær Kirke,56.1172703,9.9540635,"Stjær Kirke, Østerbro, 8464 Galten, Denmark"
Svogerslev Kirke,55.634202,12.0150503,"Svogerslev Kirke, Svogerslev Kirkevej, Svogerslev, Denmark"
Sønder Nærå Kirke,55.3082533,10.4919945,"Sankt Mikaels Kirke, Bøjden, Sønder Nærå, Denmark"
Tårup Kirke,55.2344329,10.7738344,"Taarup Kirke, Tårup Byvej, 5871 Frørup, Denmark"
Ulbjerg Kirke,56.6276064,9.346319,"Ulbjerg Kirke, Bakken, Ulbjerg, Denmark"
Uvelse Kirke,55.8673603,12.2394631,"Uvelse Kirke, Kirkestræde, 3330 Gørløse, Denmark"
Vejstrup Kirke,55.1043557,10.7100501,"Vejstrup Kirke, Egemosevej, 5882 Vejstrup, Denmark"
Vilstrup Kirke,55.2002234,9.5164399,"Vilstrup Kirke, Vilstrup Kirkevej, 6100 Haderslev, Denmark"
Ålsø Kirke,56.3722217,10.8515193,"Ålsø Kirke, Ellebjergvej, Norddjurs Municipality, Denmark"
"Aarhus, Sct. Lukas Kirke",NA,NA,NA
Drigstrup Kirke,55.4666194,10.6090191,"Drigstrup Kirke, Drigstrup Bygade, 5300 Kerteminde, Denmark"
Døstrup Kirke,55.1149207,8.7994117,"Døstrup Kirke, Genforeningsvej, Døstrup, Denmark"
